PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,SortKey
tewjc,r5k1/pp3p1p/2b2qp1/3pr3/8/4P2P/R1PN1PP1/Q3K2R w K - 0 19,a2a7 e5e3 f2e3 f6a1 a7a1 a8a1,1493,76,94,18768,crushing discoveredAttack long middlegame xRayAttack,https://lichess.org/SLbfzQtP#36,Polish_Opening Polish_Opening_Other_variations,1764192
0kDWS,1r6/1PN5/3p4/4kpp1/1R6/P3n3/K1P5/8 b - - 0 49,e3d5 b4b5 b8b7 b5b7,1947,75,95,13691,advantage endgame pin short,https://lichess.org/q2SFqfYD/black#97,,1300645
f2p5F,5r2/p3R2p/4Q1p1/3B2k1/2p2b2/2P2P2/P5P1/1q3K2 w - - 1 39,e6e1 b1d3 f1f2 d3d5,1385,75,96,16934,advantage endgame fork short,https://lichess.org/BTADpsgd#76,,1625664
LDIfb,rnbqkb1r/pp2pp1p/3p1np1/2p5/4P3/2P2N1P/PP1PBPP1/RNBQK2R b KQkq - 2 5,f6e4 d1a4 b8c6 a4e4,1472,75,95,21527,advantage fork opening short,https://lichess.org/hnuvOm1w/black#9,Sicilian_Defense Sicilian_Defense_Modern_Variations,2045065
mJDcO,5rk1/p1Q3pp/8/3p4/3q1r2/8/P1P3PP/R4R1K w - - 0 21,f1f4 d4a1 f4f1 a1f1,1321,76,95,17352,endgame hangingPiece mate mateIn2 short,https://lichess.org/oAkUCwh7#40,,1648440
y0ld9,8/R7/8/3rk3/2p1N3/5KP1/5P1P/5b2 w - - 2 44,a7a1 d5d3 f3g4 f1e2 g4g5 e5e4,1783,78,95,14370,advantage endgame long,https://lichess.org/sopubPww#86,,1365150
CIamA,rnbqk1nr/ppp2ppp/8/4p3/1b6/2N1P1P1/PP1P1PBP/R1BQK1NR b KQkq - 0 6,g8f6 d1a4 b8c6 g2c6 b7c6 a4b4,1523,73,97,12865,advantage fork long opening,https://lichess.org/ySU6NzBT/black#11,English_Opening English_Opening_Anglo-Scandinavian_Defense,1247905
u7Cp7,rn2k2r/ppp1ppb1/7p/3pN1p1/q2P4/1P2P1P1/P1PNQPP1/R3K2R b KQkq - 0 12,a4a3 e2b5 c7c6 b5b7,1480,77,95,21410,crushing middlegame short,https://lichess.org/chCVVcR9/black#23,Queens_Pawn_Game Queens_Pawn_Game_Levitsky_Attack,2033950
CAYyS,3r4/2p1pp1p/ppk5/2p1N3/4bP2/1PK3P1/P1P4P/8 b - - 2 24,c6b5 a2a4 b5a5 e5c4,1515,76,96,19526,endgame mate mateIn2 short,https://lichess.org/ZP2HPZnL/black#47,,1874496
NtFPE,4kbnr/3b1ppp/p7/qp1pPB2/5BQ1/8/1P3PPP/2R3K1 b k - 1 18,a5d8 f5d7 d8d7 c1c8,1314,76,93,14230,advantage middlegame short,https://lichess.org/idi5c8A6/black#35,French_Defense French_Defense_Advance_Variation,1323390
